datetime,batt_v,load_a,charge_a,solar_v
6/10/2014 10:00,12.7,0,0.5,20.1
6/10/2014 12:00,12.6,0,0.4,19.7
6/10/2014 14:00,12.9,0,0.4,19.6
6/10/2014 16:00,13.2,5.4,0.5,14
6/10/2014 18:00,12.5,0,1.4,0.2
6/10/2014 20:00,12.4,0,1.4,0.1
6/10/2014 22:00,12.4,0,1.5,0.2
6/11/2014 0:00,12.3,0,1.5,0.1
6/11/2014 1:00,12.3,0,1.3,0.1
6/11/2014 2:00,12.3,0,1.4,0.1
6/11/2014 3:00,12.3,0,1.5,0.1
6/11/2014 4:00,12.3,0,1.5,0.1
6/11/2014 5:00,12.3,0,1.3,0.2
6/11/2014 6:00,12.1,0,3.4,11
6/11/2014 7:00,12.5,2.9,2.4,13.3
6/11/2014 8:00,13.5,8.5,2.5,14.5
6/11/2014 9:00,13.5,13.9,0.7,14.9
6/11/2014 10:00,12.7,0,0.7,20.3
6/11/2014 11:00,12.7,0,0.6,20.3
6/11/2014 12:00,13.6,6.9,0.5,14.5
6/11/2014 13:00,13.4,5.2,0.5,14.2
6/11/2014 14:00,12.8,0,0.5,19.9
6/11/2014 15:00,12.8,0,0,20.1
6/11/2014 16:00,13.4,0,0,19.8
6/11/2014 17:00,12.7,0.9,0,13.4
6/11/2014 18:00,12.4,0,2.1,0.1
6/11/2014 19:00,12.4,0,0.5,0.1
6/11/2014 20:00,12.5,0,1.2,0.2
6/11/2014 21:00,12.4,0,1.4,0.2
6/11/2014 22:00,12.3,0,3.5,0.1
6/11/2014 23:00,12.2,0,3.3,0.1
6/12/2014 0:00,12.2,0,3.4,0.1
6/12/2014 1:00,12.2,0,3.3,0.1
6/12/2014 2:00,12.2,0,3.3,0.1
6/12/2014 3:00,12.1,0,3.3,0.2
6/12/2014 4:00,12.1,0,4.3,0.1
6/12/2014 5:00,12,0,4.3,0.1
6/12/2014 6:00,12.1,0,3.3,6.8
6/12/2014 7:00,12.1,0,3.4,12.4
6/12/2014 8:00,12,0,3.2,12.4
6/12/2014 9:00,12.3,0.1,1.3,12.8
6/12/2014 10:00,12.2,0,1.5,12.7
6/12/2014 11:00,12.5,2.4,0.8,13.2
6/12/2014 12:00,12.5,0.5,0.6,13
6/12/2014 13:00,12.6,2.2,0.3,13.3
6/12/2014 14:00,12.5,0.7,0.3,13.1
6/12/2014 15:00,12.6,1.2,0.3,13.1
6/12/2014 16:00,12.6,1,0.3,13.2
6/12/2014 17:00,12.4,0,0.3,12.8
6/12/2014 18:00,12.3,0,0.3,0.3
6/12/2014 19:00,12.3,0,0.3,0.2
6/12/2014 20:00,12.1,0,1.1,0.3
6/12/2014 21:00,12.1,0,1.2,0.2
6/12/2014 22:00,12.1,0,1.1,0.3
6/12/2014 23:00,12.1,0,1.2,0.2
6/13/2014 0:00,12.1,0,1,0.4
6/13/2014 1:00,12.1,0,1.2,0.2
6/13/2014 2:00,12.1,0,1.2,0.2
6/13/2014 3:00,12.1,0,1.2,0.2
6/13/2014 4:00,12,0,0.8,0.2
6/13/2014 5:00,12.1,0,1.3,0.1
6/13/2014 6:00,12.1,0,0.3,9.4
6/13/2014 7:00,12.3,0.3,0.3,12.8
6/13/2014 8:00,12.6,2.7,0.4,13.4
6/13/2014 9:00,12.9,5.8,0.6,13.8
6/13/2014 10:00,13.6,12,0.5,14.8
6/13/2014 11:00,13.4,8.5,0.4,14.4
6/13/2014 12:00,13,0,0.3,19.8
6/13/2014 13:00,12.9,0,0.4,19.5
6/13/2014 14:00,13.2,0,0.3,19.2
6/13/2014 15:00,13.6,4.4,1.9,14.5
6/13/2014 16:00,12.8,0,2,13.3
6/13/2014 17:00,12.7,0,1,13.1
6/13/2014 18:00,12.5,0,1.8,0.1
6/13/2014 19:00,12.3,0,2.2,0.1
6/13/2014 20:00,12.3,0,2.3,0.1
6/13/2014 21:00,12.2,0,4.3,0.2
6/13/2014 22:00,12.3,0,1.2,0.2
6/13/2014 23:00,12.4,0,1.2,0.3
6/14/2014 0:00,12.3,0,1.2,0.2
6/14/2014 1:00,12.3,0,1.2,0.3
6/14/2014 2:00,12.1,0,1.3,0.2
6/14/2014 3:00,12.3,0,1.2,0.2
6/14/2014 4:00,12.2,0,2.3,0.1
6/14/2014 5:00,12.2,0,2.2,0.2
6/14/2014 6:00,12.2,0,1.2,8.8
6/14/2014 7:00,12.4,0.8,1.1,12.9
6/14/2014 8:00,13.5,11.1,0.3,14.7
6/14/2014 9:00,13.4,13.2,0.4,14.8
6/14/2014 10:00,12.6,0,2.4,19.9
6/14/2014 11:00,12.7,0,0.4,19.4
6/14/2014 12:00,12.6,0,2,19.4
6/14/2014 13:00,13.3,15.6,2.2,14.8
6/14/2014 14:00,12.8,0,0.7,19.2
6/14/2014 15:00,12.8,0,0.4,19.4
6/14/2014 16:00,13.5,5.9,0.4,14.4
6/14/2014 17:00,12.7,0,0.4,13.1
6/14/2014 18:00,12.4,0,2.3,0.1
6/14/2014 19:00,12.3,0,2.3,0.1
6/14/2014 20:00,12.3,0,2.3,0.1
6/14/2014 21:00,12.3,0,2.3,0.1
6/14/2014 22:00,12.2,0,2.1,0.1
6/14/2014 23:00,12.2,0,2.2,0.2
6/15/2014 0:00,12.2,0,2.2,0.3
6/15/2014 1:00,12.2,0,2.1,0.2
6/15/2014 2:00,12.1,0,2.2,0.1
6/15/2014 3:00,12.1,0,2.1,0.1
6/15/2014 4:00,12.1,0,2.2,0.1
6/15/2014 5:00,12.1,0,2,0.2
6/15/2014 6:00,12.1,0,1.2,8.6
6/15/2014 7:00,12.3,1.2,0.3,12.8
6/15/2014 8:00,13.3,10,0.2,14.4
6/15/2014 9:00,13.5,13.6,0.3,14.9
6/15/2014 10:00,12.7,0,0.5,19.4
6/15/2014 11:00,13.4,15.3,1.9,15
6/15/2014 12:00,12.5,0,2.1,19.8
6/15/2014 13:00,12.7,0,0.8,19.4
6/15/2014 14:00,12.7,0,0.4,19.5
6/15/2014 15:00,12.9,0,0.4,19.1
